lat;lng;name;time
47.17005;-2.57595;INNOVATION;2021-06-09 07:21:00
47.17050;-2.56820;BOA SUB C;2021-06-09 07:22:00
47.16592;-2.54827;FURORE-G;2021-06-09 07:22:00
47.17002;-2.57590;INNOVATION;2021-06-09 08:03:00
47.17040;-2.56828;BOA SUB C;2021-06-09 08:03:00
47.17887;-2.54585;FURORE-G;2021-06-09 08:03:00
47.17003;-2.57592;INNOVATION;2021-06-09 08:32:00
47.16957;-2.57290;BOA SUB C;2021-06-09 08:32:00
47.16588;-2.51132;FURORE-G;2021-06-09 08:32:00
47.17000;-2.57592;INNOVATION;2021-06-09 08:42:00
47.16935;-2.57408;BOA SUB C;2021-06-09 08:42:00
47.16467;-2.51327;FURORE-G;2021-06-09 08:41:00
47.17000;-2.57592;INNOVATION;2021-06-09 12:57:00
47.17025;-2.56737;BOA SUB C;2021-06-09 12:55:00
47.19495;-2.58458;FURORE-G;2021-06-09 12:56:00
47.17003;-2.57593;INNOVATION;2021-06-09 13:01:00
47.17027;-2.56737;BOA SUB C;2021-06-09 13:01:00
47.19672;-2.58982;FURORE-G;2021-06-09 13:01:00
47.17002;-2.57592;INNOVATION;2021-06-10 02:54:00
47.30375;-2.12168;BOA SUB C;2021-06-10 02:54:00
47.16782;-2.51175;FURORE-G;2021-06-10 02:54:00
47.17000;-2.57592;INNOVATION;2021-06-10 09:31:00
47.30410;-2.12060;BOA SUB C;2021-06-10 09:15:00
47.17558;-2.56465;FURORE-G;2021-06-10 09:32:00
47.16995;-2.57603;INNOVATION;2021-06-10 09:33:00
47.30410;-2.12060;BOA SUB C;2021-06-10 09:15:00
47.17558;-2.56465;FURORE-G;2021-06-10 09:32:00
47.16990;-2.57615;INNOVATION;2021-06-10 09:34:00
47.30410;-2.12060;BOA SUB C;2021-06-10 09:15:00
47.17558;-2.56465;FURORE-G;2021-06-10 09:32:00
47.17000;-2.57592;INNOVATION;2021-06-11 00:20:00
47.17342;-2.56905;BOA SUB C;2021-06-11 00:20:00
47.18493;-2.53788;FURORE-G;2021-06-11 00:10:00
